LocationID,Borough,Zone,service_zone,latitude,longitude
1,EWR,Newark Airport,EWR,40.6895,-74.1745
2,Queens,Jamaica Bay,Boro Zone,40.6237,-73.8284
3,Bronx,Allerton/Pelham Gardens,Boro Zone,40.8654,-73.8456
4,Manhattan,Alphabet City,Yellow Zone,40.7264,-73.9798
5,Staten Island,Arden Heights,Boro Zone,40.5452,-74.1866
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,40.5978,-74.0712
7,Queens,Astoria,Boro Zone,40.7720,-73.9267
8,Queens,Astoria Park,Boro Zone,40.7796,-73.9233
9,Queens,Auburndale,Boro Zone,40.7545,-73.7868
10,Queens,Baisley Park,Boro Zone,40.6746,-73.7889
11,Brooklyn,Bath Beach,Boro Zone,40.6023,-74.0014
12,Manhattan,Battery Park,Yellow Zone,40.7033,-74.0156
13,Manhattan,Battery Park City,Yellow Zone,40.7118,-74.0158
14,Brooklyn,Bay Ridge,Boro Zone,40.6262,-74.0282
15,Queens,Bay Terrace/Fort Totten,Boro Zone,40.7923,-73.7798
16,Queens,Bayside,Boro Zone,40.7614,-73.7731
17,Brooklyn,Bedford,Boro Zone,40.6872,-73.9417
18,Bronx,Bedford Park,Boro Zone,40.8668,-73.8874
19,Queens,Bellerose,Boro Zone,40.7266,-73.7161
20,Bronx,Belmont,Boro Zone,40.8532,-73.8873
21,Brooklyn,Bensonhurst East,Boro Zone,40.6074,-73.9857
22,Brooklyn,Bensonhurst West,Boro Zone,40.6117,-74.0018
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,40.6095,-74.1741
24,Manhattan,Bloomingdale,Yellow Zone,40.7993,-73.9660
25,Brooklyn,Boerum Hill,Boro Zone,40.6848,-73.9844
26,Brooklyn,Borough Park,Boro Zone,40.6328,-73.9968
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,40.5675,-73.8888
28,Queens,Briarwood/Jamaica Hills,Boro Zone,40.7120,-73.8088
29,Brooklyn,Brighton Beach,Boro Zone,40.5782,-73.9610
30,Queens,Broad Channel,Boro Zone,40.6023,-73.8207
31,Bronx,Bronx Park,Boro Zone,40.8559,-73.8712
32,Bronx,Bronxdale,Boro Zone,40.8540,-73.8603
33,Brooklyn,Brooklyn Heights,Boro Zone,40.6978,-73.9942
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,40.7005,-73.9712
35,Brooklyn,Brownsville,Boro Zone,40.6629,-73.9095
36,Brooklyn,Bushwick North,Boro Zone,40.7001,-73.9172
37,Brooklyn,Bushwick South,Boro Zone,40.6958,-73.9171
38,Queens,Cambria Heights,Boro Zone,40.6927,-73.7359
39,Brooklyn,Canarsie,Boro Zone,40.6403,-73.8941
40,Brooklyn,Carroll Gardens,Boro Zone,40.6795,-73.9972
41,Manhattan,Central Harlem,Boro Zone,40.8094,-73.9479
42,Manhattan,Central Harlem North,Boro Zone,40.8202,-73.9428
43,Manhattan,Central Park,Yellow Zone,40.7812,-73.9665
44,Staten Island,Charleston/Tottenville,Boro Zone,40.5101,-74.2331
45,Manhattan,Chinatown,Yellow Zone,40.7158,-73.9970
46,Bronx,City Island,Boro Zone,40.8468,-73.7864
47,Bronx,Claremont/Bathgate,Boro Zone,40.8398,-73.9043
48,Manhattan,Clinton East,Yellow Zone,40.7626,-73.9923
49,Brooklyn,Clinton Hill,Boro Zone,40.6906,-73.9662
50,Manhattan,Clinton West,Yellow Zone,40.7631,-73.9950
51,Bronx,Co-Op City,Boro Zone,40.8744,-73.8275
52,Brooklyn,Cobble Hill,Boro Zone,40.6864,-73.9959
53,Queens,College Point,Boro Zone,40.7855,-73.8458
54,Brooklyn,Columbia Street,Boro Zone,40.6724,-74.0064
55,Brooklyn,Coney Island,Boro Zone,40.5773,-73.9812
56,Queens,Corona,Boro Zone,40.7439,-73.8616
57,Queens,Corona,Boro Zone,40.7439,-73.8616
58,Bronx,Country Club,Boro Zone,40.8485,-73.8178
59,Bronx,Crotona Park,Boro Zone,40.8394,-73.8927
60,Bronx,Crotona Park East,Boro Zone,40.8329,-73.8883
61,Brooklyn,Crown Heights North,Boro Zone,40.6748,-73.9361
62,Brooklyn,Crown Heights South,Boro Zone,40.6663,-73.9451
63,Brooklyn,Cypress Hills,Boro Zone,40.6829,-73.8746
64,Queens,Douglaston,Boro Zone,40.7628,-73.7489
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,40.6923,-73.9854
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,40.7034,-73.9876
67,Brooklyn,Dyker Heights,Boro Zone,40.6187,-74.0118
68,Manhattan,East Chelsea,Yellow Zone,40.7415,-73.9944
69,Bronx,East Concourse/Concourse Village,Boro Zone,40.8273,-73.9171
70,Queens,East Elmhurst,Boro Zone,40.7685,-73.8777
71,Brooklyn,East Flatbush/Farragut,Boro Zone,40.6397,-73.9319
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,40.6518,-73.9175
73,Queens,East Flushing,Boro Zone,40.7608,-73.8108
74,Manhattan,East Harlem North,Boro Zone,40.7993,-73.9397
75,Manhattan,East Harlem South,Boro Zone,40.7875,-73.9438
76,Brooklyn,East New York,Boro Zone,40.6667,-73.8850
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,40.6625,-73.8953
78,Bronx,East Tremont,Boro Zone,40.8457,-73.8929
79,Manhattan,East Village,Yellow Zone,40.7264,-73.9816
80,Brooklyn,East Williamsburg,Boro Zone,40.7141,-73.9373
81,Bronx,Eastchester,Boro Zone,40.8678,-73.8261
82,Queens,Elmhurst,Boro Zone,40.7382,-73.8815
83,Queens,Elmhurst/Maspeth,Boro Zone,40.7312,-73.8865
84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,40.5462,-74.1719
85,Brooklyn,Erasmus,Boro Zone,40.6489,-73.9514
86,Queens,Far Rockaway,Boro Zone,40.6012,-73.7504
